DATE,FLOW CFS,FLOW TAF
20170816 0000,1785,3.54
20170817 0000,2872,5.7
20170818 0000,3005,5.96
20170819 0000,1240,2.46
20170820 0000,1556,3.09
20170821 0000,2485,4.93
20170822 0000,2429,4.82
20170823 0000,3019,5.99
20170824 0000,2855,5.66
20170825 0000,2871,5.69
20170826 0000,2276,4.51
20170827 0000,2564,5.09
20170828 0000,2722,5.4
20170829 0000,2619,5.19
20170830 0000,2060,4.09
20170831 0000,2439,4.84
20170901 0000,2614,5.18
20170902 0000,2019,4
20170903 0000,2546,5.05
20170904 0000,1465,2.91
20170905 0000,2306,4.57
20170906 0000,1750,3.47
20170907 0000,901,1.79
20170908 0000,908,1.8
20170909 0000,346,0.69
20170910 0000,408,0.81
20170911 0000,1071,2.12
20170912 0000,735,1.46
20170913 0000,1253,2.49
20170914 0000,845,1.68
20170915 0000,2492,4.94
20170916 0000,1161,2.3
20170917 0000,2316,4.59
20170918 0000,1413,2.8
20170919 0000,1237,2.45
20170920 0000,2309,4.58
20170921 0000,3485,6.91
20170922 0000,3728,7.39
20170923 0000,2100,4.17
20170924 0000,2724,5.4
20170925 0000,1132,2.25
20170926 0000,377,0.75
20170927 0000,841,1.67
20170928 0000,990,1.96
20170929 0000,1246,2.47
20170930 0000,1708,3.39
20171001 0000,1744,3.46
20171002 0000,2055,4.08
20171003 0000,1610,3.19
20171004 0000,2026,4.02
20171005 0000,2035,4.04
20171006 0000,2162,4.29
20171007 0000,1786,3.54
20171008 0000,2077,4.12
20171009 0000,2319,4.6
20171010 0000,1960,3.89
20171011 0000,2279,4.52
20171012 0000,2205,4.37
20171013 0000,2342,4.65
20171014 0000,1948,3.86
20171015 0000,2142,4.25
20171016 0000,2394,4.75
20171017 0000,2216,4.4
20171018 0000,2308,4.58
20171019 0000,2102,4.17
20171020 0000,2880,5.71
20171021 0000,2276,4.51
20171022 0000,2219,4.4
20171023 0000,2271,4.5
20171024 0000,2314,4.59
20171025 0000,2226,4.42
20171026 0000,2161,4.29
20171027 0000,2495,4.95
20171028 0000,2408,4.78
20171029 0000,2110,4.19
20171030 0000,1493,2.96
20171031 0000,1105,2.19
20171101 0000,1117,2.22
20171102 0000,1350,2.68
20171103 0000,1447,2.87
20171104 0000,3144,6.24
20171105 0000,2109,4.18
20171106 0000,1662,3.3
20171107 0000,1419,2.81
20171108 0000,1509,2.99
20171109 0000,5882,11.67
20171110 0000,4050,8.03
20171111 0000,2983,5.92
20171112 0000,2242,4.45
20171113 0000,2505,4.97
20171114 0000,3481,6.9
20171115 0000,5073,10.06
20171116 0000,19847,39.37
20171117 0000,10262,20.35
20171118 0000,6860,13.61
20171119 0000,5013,9.94
20171120 0000,5252,10.42
20171121 0000,5748,11.4
20171122 0000,4868,9.66
20171123 0000,4037,8.01
20171124 0000,3920,7.78
20171125 0000,3550,7.04
20171126 0000,4628,9.18
20171127 0000,7448,14.77
20171128 0000,5809,11.52
20171129 0000,3398,6.74
20171130 0000,4112,8.16
20171201 0000,4200,8.33
20171202 0000,3049,6.05
20171203 0000,3944,7.82
20171204 0000,3445,6.83
20171205 0000,4119,8.17
20171206 0000,3239,6.42
20171207 0000,3234,6.41
20171208 0000,3451,6.84
20171209 0000,3222,6.39
20171210 0000,2368,4.7
20171211 0000,2856,5.66
20171212 0000,3340,6.62
20171213 0000,3035,6.02
20171214 0000,2937,5.83
20171215 0000,2890,5.73
20171216 0000,2587,5.13
20171217 0000,2632,5.22
20171218 0000,2435,4.83
20171219 0000,2308,4.58
20171220 0000,2237,4.44
20171221 0000,2159,4.28
20171222 0000,2071,4.11
20171223 0000,1402,2.78
20171224 0000,1350,2.68
20171225 0000,1195,2.37
20171226 0000,1609,3.19
20171227 0000,1190,2.36
20171228 0000,1377,2.73
20171229 0000,1846,3.66
20171230 0000,1539,3.05
20171231 0000,1634,3.24
